follower,following
59588845,49204393
59588845,31545838
59588845,118515563
59588845,21068395
59588845,83032174
59588845,158929222
59588845,16636510
59588845,69592091
59588845,32573614
59588845,121570037
59588845,70492333
59588845,57496410
59588845,36008570
59588845,213768354
59588845,75575257
59588845,202820524
59588845,142438794
59588845,139441056
59588845,64418022
59588845,151338729
59588845,116279067
59588845,138808587
59588845,83943787
59588845,129063181
59588845,21556071
59588845,35053812
59588845,221893649
59676554,118451298
59676554,70731269
59676554,28595500
59676554,50681216
59676554,127566622
59676554,16895274
59676554,82978967
59676554,9109712
59676554,68751371
59676554,19981142
59676554,23606123
59676554,14840869
59676554,35042959
59676554,19614344
59676554,54885400
59676554,66514690
59676554,15693493
59676554,94095454
59676554,428333
59676554,492672172
59676554,50374439
59676554,182364500
59676554,17454769
59676554,18253799
59676554,14740219
59676554,40930504
59676554,38967935
59676554,14293310
59676554,8983712
59676554,14583400
59676554,52551600
59676554,26426775
59676554,534026234
59676554,43283406
59676554,25930421
59676554,100005680
59676554,237752987
59676554,84921665
59676554,8963722
59676554,19402238
59676554,20108560
59676554,1367531
59676554,16423109
59676554,816653
59676554,35340878
59676554,18558612
59676554,24019308
59676554,48436234
59676554,59306423
59676554,33694840
59676554,1344951
59676554,109031507
59676554,51517262
59676554,31293189
59676554,16017924
59676554,17842366
59676554,27114180
59676554,25397148
59676554,16028129
59676554,282608971
59676554,14850955
59676554,111613998
59676554,32309662
59676554,37940492
59676554,15846372
59676554,10228272
59676554,472390921
59676554,43194901
59676554,47435979
59676554,110761251
59676554,70735167
59676554,51073543
59676554,497212004
59676554,40363803
59676554,65212470
59676554,2097571
59676554,12513472
59676554,87040645
59676554,290930532
59676554,73402979
59676554,41429068
59676554,18725854
59676554,17461978
59676554,17972364
59676554,81656691
59676554,107475702
59676554,43259432
59676554,19637934
59676554,759251
59676554,30973
59676554,6815302
59676554,451855214
59676554,23003171
59676554,39473714
59676554,14497313
59676554,3291841
59676554,17602896
59676554,20536157
59676554,352815645
59676554,21337501
59676554,92357649
59676554,199039532
59676554,24921741
59676554,259394077
59676554,19058681
59676554,98921753
59676554,15386108
59676554,20609518
59676554,21254264
59676554,18135029
59676554,21600059
59676554,1435461
59676554,17992258
59676554,16953157
59676554,20460235
59676554,15012486
59676554,31311757
59676554,19397785
59676554,15912113
59676554,18294927
59676554,18499802
59676554,30313925
59676554,43192807
59676554,15312744
59676554,18665800
59676554,15485441
59676554,21186125
59676554,11522502
59676554,14523801
59676554,63555423
59676554,28621095
59676554,14199378
59676554,58568634
59676554,82652901
59676554,23962323
59676554,51748478
59676554,10728432
59676554,21162197
59676554,244154451
59676554,54682125
59676554,117231855
59676554,28785486
59676554,7428362
59676554,31464977
59676554,14086764
59676554,209239549
59676554,15291335
59676554,31482817
59676554,28468549
59676554,37527136
59676554,20727819
59676554,213071499
6018292,172655176
6018292,180505807
6018292,20297780
6018292,32437665
6018292,18822863
6018292,259395258
6018292,32387419
6018292,16150760
6018292,15473958
6018292,46426258
6018292,24585498
6018292,15165493
6018292,182965747
6018292,270343681
6018292,14837184
6018292,270548301
6018292,167046396
6018292,152894637
6018292,46506404
6018292,14457740
6018292,8963722
6018292,23979736
6018292,87824077
6018292,41317178
6018292,115216851
6018292,16513135
6018292,19223919
6018292,77351627
6018292,2172
6018292,20121920
6018292,44851095
6018292,14637048
6018292,40625388
6018292,6519522
6018292,16970864
6018292,11666142
6018292,264925735
6018292,148497957
6018292,121791789
6018292,9534522
6018292,1173281
6018292,15736190
6018292,30035888
6018292,37752933
6018292,26527783
6018292,9340912
6018292,182019857
6018292,139108740
6018292,310530440
6018292,132617557
6018292,14192958
6018292,3496641
6018292,20405932
6018292,6632072
6018292,170510175
6018292,4620451
6018292,38682272
6018292,171845650
6018292,2384071
6018292,19167186
6018292,5162861
6018292,22118364
6018292,39445335
6018292,273197054
6018292,108203023
6018292,14326840
6018292,28180275
6018292,17893290
6018292,120252183
6018292,12998732
6018292,15302076
6018292,14444403
6018292,28583197
6018292,109298652
6018292,305888449
6018292,12298182
6018292,275686563
6018292,96782298
6018292,657863
6018292,76855088
6018292,46523597
6018292,161549784
6018292,30313925
6018292,178725224
6018292,126010178
6018292,148868647
6018292,15165502
6018292,784856
6018292,74594552
6018292,358055613
6018292,15446126
6018292,412490506
6018292,50751156
6018292,26280712
6018292,14965395
6018292,637293
6018292,41226089
6018292,28406270
6018292,39918393
6018292,227750307
6018292,21634076
6018292,2034901
6018292,46691170
6018292,195530319
6018292,18755518
6018292,15594182
6018292,13687132
6018292,128956175
61086747,36191770
61086747,514965845
61086747,86395621
61086747,28586095
61086747,114563370
61086747,168909000
61086747,146071420
61086747,17552077
61086747,288686513
61086747,283889441
61086747,61166489
61086747,169219162
61086747,480830930
61086747,191196647
61086747,82146778
61086747,16577804
61086747,66471461
61086747,15653423
61086747,11762492
61086747,260281892
61086747,103975904
61086747,21347710
61086747,236946858
61086747,37214134
61086747,396278480
61086747,20270659
61086747,410339613
61086747,347412328
61086747,183417908
61086747,131319392
61086747,223648848
61086747,415711683
61086747,150856762
61086747,24563459
61086747,22602849
61086747,33411087
61086747,146065083
61086747,125543887
61086747,35529015
61086747,37435412
61086747,19413393
61086747,62609430
61086747,15913
61086747,31524543
61086747,155976326
61086747,55481000
61086747,48091346
61086747,73077189
61086747,22693053
61086747,52168389
61086747,278866735
61086747,88491375
61086747,308198120
61086747,55989626
61086747,384388981
61086747,287869243
61086747,15257015
61086747,41839451
61086747,28228172
61086747,161048888
61086747,132784018
61086747,60725654
61086747,287319946
61086747,319020952
61086747,90079382
61086747,755068
61086747,321114941
61086747,5906322
61086747,241214783
61086747,30680870
61086747,29118453
61086747,19849160
61086747,295126004
61086747,553121769
61086747,283717433
61086747,24742040
61086747,167011297
61086747,271058805
61086747,18553965
61086747,28775296
61086747,31037985
61086747,5442012
61086747,36385076
61086747,256685186
61086747,306445007
61086747,26322751
61086747,43393512
61086747,285930225
61086747,14269220
61086747,287864860
61086747,423793007
61086747,421848829
61086747,144040563
61086747,77872010
61086747,19317342
61086747,414334713
61086747,499839056
61086747,164081884
61086747,153449917
61086747,28734906
61086747,382110320
61086747,14976315
61086747,78806632
61086747,23941372
61086747,18927441
61086747,61853583
61086747,78409429
61086747,148112305
61086747,99885625
61086747,25284524
61086747,7565302
61086747,22679419
61086747,19637934
61086747,198876913
61086747,288679470
61086747,185554363
61086747,87034864
61086747,121258930
61086747,140290005
61086747,174307074
61086747,24942585
61086747,283876751
61086747,281983763
61086747,9451052
61086747,422950468
61086747,117541123
61086747,286012612
61086747,374367766
61086747,309366491
61086747,14922225
61086747,328352075
61086747,299167561
61086747,49759083
61086747,124041790
61086747,218950438
61086747,501771404
61086747,24415675
61086747,173826324
61086747,309689866
61086747,200212364
61086747,320463544
61086747,18776017
61086747,263267680
61086747,316264827
61086747,302397341
61086747,151741715
61086747,19720019
61086747,45862504
61086747,283891247
61086747,121354937
61086747,26241696
61086747,48485771
61086747,82225833
61086747,164433647
61086747,17803303
61086747,98519324
61086747,423462301
61086747,246981903
61086747,383768756
61086747,166732373
61086747,97740333
61086747,283239246
61086747,64824726
61086747,186398060
61086747,169144323
61086747,298062163
61086747,233527224
61086747,146155608
61086747,17011485
61086747,134498224
61086747,169836435
61086747,425871040
61086747,153066964
61086747,26599573
61086747,73151797
61086747,13610342
61086747,106477056
61086747,31228111
61086747,128968339
61086747,138794168
61086747,59804598
61086747,84043660
61086747,307651474
61086747,203261300
61086747,23140494
61086747,20274104
61086747,29223142
61086747,23410046
61086747,62664061
61086747,45593345
61086747,283630920
61086747,267676899
61086747,66867076
61086747,305073376
61086747,79766265
61086747,361482327
61086747,160371135
61086747,196710000
61086747,413248342
61086747,142837256
61086747,283664363
61158706,43202447
61158706,279251969
61158706,119843970
61158706,374490512
61158706,318653596
61158706,285995923
61158706,54068544
61158706,20927068
61158706,29713531
61158706,286625413
61158706,53150592
61158706,285158274
61158706,64590729
61158706,31107120
61158706,44859405
61158706,7517222
61158706,22178617
61158706,19530829
61158706,77492951
61158706,44409004
61158706,57175782
61158706,381788237
61158706,53134911
61158706,59150034
61158706,2044241
61158706,89014429
61158706,40706436
61158706,318744110
61158706,145809544
61158706,60665782
61158706,309325161
61158706,281159810
61158706,86422542
61158706,37217209
61158706,281232495
61158706,40227078
61158706,366827523
61158706,34030400
61158706,36057875
61158706,51219631
61158706,17759701
61158706,45112524
61158706,135605269
61158706,21434795
61158706,382900742
61158706,366519199
61158706,40676719
61158706,62109230
61158706,21902349
