follower,following
12534,11661
14280313,12830
22733444,28165335
348584920,427516636
34386754,19345378
670843,12534
30010671,54883627
14112756,646533
19987925,169686021
12591,12830
427516636,348584920
783675,40930287
670843,60273
12534,12741
33923,11661
3302,169686021
25993,681333
14334873,14112756
14601788,12741
34163,12534
799212,14334873
15165359,11661
29842036,21955058
18895806,12591
61133,34163
216383485,133002429
33923,11132462
7738402,33923
799212,33923
681333,34163
12534,33923
1540191,12741
112223288,90972884
40930287,25993
51178438,14334873
14165542,18943058
15626465,28331519
57841792,55309264
84142850,112223288
12741,2727051
29213539,18943058
23126210,14165542
19380307,14903310
23126210,41884496
25993,8501792
23126210,94114408
774280,33923
1540191,2727051
774280,12591
24090007,55309264
29842036,22733444
9779032,33423
28331519,119509520
19345378,14165542
15743570,19380307
383909557,1540191
15743570,15626465
1540191,383909557
125851053,19345378
14763,60273
25993,670843
14112756,11661
7738402,9779032
12591,681333
774280,646533
33923,12534
1540191,14763
15736190,8501792
27727844,84142850
14280313,33423
19345378,110588832
15506452,14763
110588832,14165542
7695342,7738402
17529242,19345378
14763,12830
799212,8501792
41553,30065033
17529242,14503124
28165335,28331519
336718614,94114408
12534,12591
14112756,34163
14763,12534
114868841,84142850
14500681,14503124
18943058,34386754
117778179,28331519
15165359,61133
84142850,18943058
14544190,15626465
19987925,94114408
14601788,12534
27195114,24966423
117778179,25027806
383909557,14112756
18895806,61133
14112756,14601788
2727051,799212
799212,3302
25993,7738402
143960983,86002941
33923,12741
61133,15736190
18895806,14334873
14280313,12591
14601788,15736190
13473852,14733
94114408,34386754
16250754,34386754
25211780,40930287
23126210,19345378
1540191,15743570
14112756,12534
26895879,25093616
14544190,7738402
2727051,9085252
12741,9085252
646533,14112756
61133,11132462
15626465,11132462
41553,646533
783675,12534
15626465,22733444
34163,61133
14270830,14601788
119509520,24966423
11661,774280
646533,60273
14112756,15736190
15626465,13473852
19345378,23126210
14334873,61133
14280313,11661
14500681,55309264
56736671,18943058
41553,15743570
14334873,14601788
7695342,11661
143960983,17529242
84142850,19345378
7738402,14601788
3302,41553
8501792,11661
117778179,28165335
60273,11661
8501792,799212
3302,774280
634163,12534
19987925,18943058
12830,681333
15165359,646533
18912472,84142850
7738402,15736190
34386754,94114408
681333,7738402
14601788,9085252
15743570,1124601
55309264,24090007
8501792,16186995
51178438,14351575
55309264,57841792
15165359,3302
33923,14112756
383909557,40930287
783675,646533
61133,13473852
783675,670843
19987925,112223288
14733,12741
14280313,774280
14601788,8501792
12830,33423
54883627,16186995
112223288,23126210
1124601,15743570
14165542,112223288
40291575,29842036
26895879,28331519
9085252,681333
2727051,12534
29842036,19058681
19345378,125851053
8501792,14763
41884496,112223288
94114408,112223288
670843,14763
14500681,57841792
28331519,24966423
551212025,185730540
34163,14733
33923,12591
14503124,14500681
40930287,2727051
15626465,29734071
86002941,54883627
41553,60273
143960983,143895367
24966423,119509520
681333,670843
365856629,348584920
56736671,94114408
34163,774280
23126210,16250754
41884496,19058681
28331519,27195114
7738402,12534
23126210,112223288
15743570,14763
19345378,27727844
15626465,33423
799212,670843
8501792,14112756
61133,783675
60273,12534
14544190,33923
15736190,30065033
112223288,94114408
114868841,336718614
783675,33423
9085252,14351575
112223288,14165542
799212,30065033
3302,33923
143960983,25093616
14372143,11132462
119509520,28331519
