follower,following
66970021,135146957
236840136,56973040
362584277,103025615
28192145,14507498
21888696,370244456
324867634,183786731
17142981,66691804
113859309,103025615
280162221,115815506
1608991,335493841
182925539,104301012
366795440,482680425
484813312,385189082
114252159,47766490
335493841,7384432
338054017,338017544
370244456,44826769
239141315,182609394
28383026,3245291
484813312,21888696
338017544,182925539
448239424,36719499
239141315,52902163
2363991,347376996
246453983,115815506
484813312,324867634
127012541,143950772
52902163,127012541
482680425,182609394
99370989,37253056
96149423,182159386
176302452,140519931
1608991,103025615
40812396,263458488
140519931,138003731
234056092,15924858
183786731,52902163
182108867,242121835
44826769,19064433
256651717,56973040
231931886,273120131
138003731,239970376
40755864,370958925
182925539,29872754
234056092,338017544
42495940,204640298
182108867,273120131
183786731,75945675
370958925,245039566
106831987,71438267
52048759,280162221
273120131,263458488
62748963,135421323
386064033,45767081
143933450,17972871
68503464,263458488
390659661,10078882
236840136,482583348
263458488,182609394
143950772,135421323
235900511,363827934
140519931,47766490
19064433,96149423
1608991,19064433
386064033,183786731
39758899,113859309
19326633,26281970
174429449,14448205
345533279,106831987
484813312,6856382
347376996,386064033
66499322,361911748
206713609,50894526
251720749,15924858
366222792,45486634
135146957,1608991
366795440,467720163
66691804,44826769
182108867,66499322
263458488,246453983
386064033,239970376
148727717,39758899
52902163,15070224
135146957,183786731
106831987,127012541
14356908,9611572
68503464,140519931
177890594,104301012
338017544,16475194
338017544,140519931
28360947,104241120
14052989,15468834
19326633,128960879
370958925,9489622
263458488,7384432
333872734,96149423
19064433,24403452
448239424,28192145
223509830,23067784
176302452,47787563
14507498,143950772
327861573,45486634
531790298,47785747
19326633,182925539
246453983,10078882
338054017,36719499
484813312,347376996
75945675,113859309
108558650,185457171
21169798,345533279
251720749,239141315
66499322,10078882
182925539,370958925
66970021,46123952
239970376,347376996
14402859,47787563
397844655,344121475
216771416,66499322
46123952,9611572
443726687,370958925
176310143,1608991
14356908,47785747
1608991,90733824
40755864,66970021
97477051,3245291
322808060,104301012
362584277,263458488
280188900,389820347
225534100,52902163
148727717,110754412
16562247,19064433
107310091,342373546
484813312,370958925
135146957,235900511
133447104,104301012
14047458,14448205
204640298,532225771
97477051,216771416
71438267,9489622
389820347,47785747
342373546,66499322
324867634,104301012
484813312,250901299
182925539,68785753
397844655,412640233
370958925,16475194
104301012,103025615
182925539,23039989
1608991,14507498
120921934,47785747
39758899,342373546
182925539,182159386
19064433,206713609
91067832,106831987
225534100,14052989
148727717,66691804
327861573,216771416
239141315,246453983
370459542,15924858
322888159,14448205
62748963,361911748
148727717,29872754
44826769,273120131
71438267,10078882
28364045,273120131
44826769,327861573
206713609,56973040
280162221,370244456
138003731,16747981
487080666,532225771
345533279,344930023
19064433,19789046
14402859,113859309
242121835,15924858
53044773,47785747
206713609,14507498
44826769,324488901
68503464,484813312
176310143,44826769
14148601,126042901
28192145,28383026
50894526,90733824
366222792,327861573
148727717,246453983
182925539,16606585
46123952,14507498
182925539,3245291
144854783,239970376
204640298,263458488
204640298,251720749
370958925,36719499
182108867,386064033
52025380,138003731
108558650,366222792
229969377,16504528
19007777,47787563
6003302,66691804
104301012,71438267
327861573,66691804
19064433,28192145
484813312,325512078
28192145,679193
37253056,3245291
386064033,14448205
42495940,338017544
484813312,296762498
28192145,36719499
347376996,366795440
147646942,15924858
75945675,14448205
91067832,16504528
28383026,47787563
66499322,66691804
6003302,289074893
176310143,344930023
176310143,140519931
344895078,138003731
135146957,66691804
239970376,104301012
28192145,16504528
1608991,9611572
370244456,15070224
75945675,17142981
138003731,21153970
481649436,44826769
66499322,3245291
46123952,283147505
108558650,385189082
40414427,15070224
52902163,17296523
42495940,206713609
327861573,91067832
148727717,135146957
46123952,135146957
28192145,95150832
338017544,47787563
138003731,14448205
235900511,482680425
66499322,24630350
140519931,24494464
16535455,182609394
52902163,182609394
144854783,47787563
204640298,235900511
108558650,324867634
68503464,239970376
24403452,135421323
183786731,47766490
21888696,347376996
239141315,47787563
484813312,16475194
284556376,182925539
52902163,344930023
273120131,14052989
99370989,68785753
36719499,47787563
68503464,370244456
283147505,14507498
327861573,126042901
28360947,14148601
66649152,47787563
481649436,176302452
14356908,342373546
28383026,24494464
28192145,182609394
338017544,256651717
12712332,14507498
204640298,24494464
90733824,50894526
1608991,127012541
23262371,135421323
327861573,19064433
19064433,44826769
96149423,374519027
42495940,370459542
448239424,333872734
114252159,138003731
363827934,524605453
324867634,176302452
108558650,75945675
239970376,17296523
133447104,31353077
366795440,333872734
386064033,531790298
176310143,47766490
246453983,103025615
143933450,24494464
44826769,52025380
385189082,26281970
236840136,44826769
138003731,182925539
422168320,338054017
280162221,280188900
327861573,68503464
366795440,91067832
280162221,1608991
1608991,2363991
99370989,143950772
280162221,15070224
104301012,68503464
91067832,126042901
138003731,390659661
484813312,40755864
223509830,370244456
235900511,148727717
236840136,333872734
19326633,45767081
